地区,2020年,2019年,2018年,2017年
北京,185026,173205,149843,134994
天津,118918,111602,103931,96965
石家庄,84870,79581,75114,67880
太原,88650,82860,80825,72114
呼和浩特,89549,84105,71387,63084
沈阳,95908,87696,82067,74181
大连,98812,95442,87592,81884
长春,92905,88082,80425,73469
哈尔滨,84796,82385,71771,67542
上海,174678,151772,142983,130765
南京,138005,129605,111071,101502
杭州,132188,120308,106709,96670
宁波,111286,110878,102325,91705
合肥,104818,95156,89022,77484
福州,96478,88952,83175,75133
厦门,108554,97779,85166,75452
南昌,93774,88470,82672,72686
济南,108391,100593,91651,84645
青岛,116115,103125,90840,83539
郑州,89464,88030,80963,70486
武汉,104009,98043,88327,79684
长沙,105603,98459,93293,85187
广州,135138,123498,111839,98612
深圳,139436,127757,111709,100173
南宁,97079,90986,83452,75481
海口,92462,85121,77632,68037
重庆,98380,89714,81764,73272
成都,104463,97519,88011,79292
贵阳,101829,92650,82685,73939
昆明,102304,94063,80253,76350
拉萨,125998,127057,126936,111092
西安,104363,96867,87125,77774
兰州,93847,88393,85575,75709
西宁,98369,91494,84071,73540
银川,105653,94559,87291,77206
乌鲁木齐,98945,90729,85990,78072
